COMP,REGIAO,UF,MUNICIPIO,MOTIVO_DESABILITACAO,CNES,NOME_ESTABELECIMENTO,RAZAO_SOCIAL,TP_GESTAO,CO_TIPO_UNIDADE,DS_TIPO_UNIDADE,NATUREZA_JURIDICA,DESC_NATUREZA_JURIDICA,NO_LOGRADOURO,NU_ENDERECO,NO_COMPLEMENTO,NO_BAIRRO,CO_CEP,NU_TELEFONE,NO_EMAIL,LEITOS_EXISTENTES,LEITOS_SUS,UTI_TOTAL_EXIST,UTI_TOTAL_SUS,UTI_ADULTO_EXIST,UTI_ADULTO_SUS,UTI_PEDIATRICO_EXIST,UTI_PEDIATRICO_SUS,UTI_NEONATAL_EXIST,UTI_NEONATAL_SUS,UTI_QUEIMADO_EXIST,UTI_QUEIMADO_SUS,UTI_CORONARIANA_EXIST,UTI_CORONARIANA_SUS,latitude,longitude
202501,NORDESTE,BA,SALVADOR,,4731,MATERNIDADE CLIMERIO DE OLIVEIRA,UNIVERSIDADE FEDERAL DA BAHIA,E,7,HOSPITAL ESPECIALIZADO,1104,HOSPITAL_PÚBLICO,RUA DO LIMOEIRO,137,,NAZARE,40055150,,,81,81,10,10,0,0,0,0,10,10,0,0,0,0,-12.9719354,-38.5023149
202501,NORDESTE,BA,SALVADOR,,5428,INSTITUTO COUTO MAIA,BAHIA SECRETARIA DE SAUDE DO ESTADO,E,7,HOSPITAL ESPECIALIZADO,1023,HOSPITAL_PÚBLICO,CORONEL AZEVEDO,000999,EDIF CAJAZEIRAS II H,CAJAZEIRAS II,41332010,71 31037153,ICOM.ADMINISTRCAO@SAUDE.BA.GOV.BR,160,130,50,20,50,20,0,0,0,0,0,0,0,0,-12.8856327,-38.4246505
202501,NORDESTE,BA,SALVADOR,,106526,HOSPITAL ESPANHOL,BAHIA SECRETARIA DE SAUDE DO ESTADO,E,5,HOSPITAL GERAL,1023,HOSPITAL_PÚBLICO,AVENIDA SETE DE SETEMBRO,4161,,BARRA,40140110,,,259,169,90,0,60,0,30,0,0,0,0,0,0,0,-13.0059552,-38.5323176492625
202501,NORDESTE,BA,SALVADOR,,108375,HOSPITAL MUNICIPAL DO HOMEM HMH,SECRETARIA MUNICIPAL DE SALVADOR,M,5,HOSPITAL GERAL,1244,HOSPITAL_PÚBLICO,PLINIO DE LIMA,1,,MONT SERRAT,40415065,3797-1922,paulo.filho@irmadulce.org.br,91,81,10,0,10,0,0,0,0,0,0,0,0,0,-12.971082854746,-38.5107707977295
202501,NORDESTE,BA,BARREIRAS,,152870,ITIBA,INSTITUTO DE TERAPIA INTENSIVA DE BARREIRAS LTDA,M,5,HOSPITAL GERAL,2062,HOSPITAL_PRIVADO,GUADALAJARA,203,,VILA DULCE,47800271,62 39565850,,30,10,20,0,20,0,0,0,0,0,0,0,0,0,-12.1425958036809,-44.9958691478702
202501,NORDESTE,BA,FEIRA DE SANTANA,,188581,HOSPITAL FRANCISCA DE SANDE,HAPVIDA ASSISTENCIA MEDICA S A,M,5,HOSPITAL GERAL,2054,HOSPITAL_PRIVADO,PROFESSORA EDELVIRA DE OLIVEIRA,140,,CENTRO,44001032,85 40023633,FISCAL@HAPVIDA.COM.BR,10,0,5,0,5,0,0,0,0,0,0,0,0,0,-12.2489903,-38.9508408
202501,NORDESTE,BA,FEIRA DE SANTANA,,445916,UNIAO MEDICA,UNIAO MEDICA PLANOS DE SAUDE S A,M,5,HOSPITAL GERAL,2054,HOSPITAL_PRIVADO,BOTICARIO MONCORVO,649,,CENTRO,44001304,75 32232978,juridico@uniaomedica.com.br,20,0,10,0,5,0,5,0,0,0,0,0,0,0,-12.267,-38.967
202501,NORDESTE,BA,LAURO DE FREITAS,,607126,HOSPITAL METROPOLITANO,BAHIA SECRETARIA DE SAUDE DO ESTADO,E,5,HOSPITAL GERAL,1023,HOSPITAL_PÚBLICO,AV SANTO AMARO DE IPITANGA,5901,LOTE GLEBA E,AREIA BRANCA,42732750,07132832100,,243,235,63,63,63,63,0,0,0,0,0,0,0,0,-12.85271,-38.35101
202501,NORDESTE,BA,TEIXEIRA DE FREITAS,,2301296,HOSPITAL SOBRASA,SOCIEDADE BRASILEIRA DE AMPARO A SAUDE LTDA,M,5,HOSPITAL GERAL,2062,HOSPITAL_PRIVADO,AV PRESIDENTE GETULIO VARGAS,2752,,RECANTO DO LAGO,45987088,(73)33112800,,71,0,10,0,10,0,0,0,0,0,0,0,0,0,-17.538559990587,-39.7205114364624
202501,NORDESTE,BA,TEIXEIRA DE FREITAS,,2301318,HOSPITAL MUNICIPAL DE TEIXEIRA DE FREITAS,PREFEITURA MUNICIPAL DE TEIXEIRA DE FREITAS,D,5,HOSPITAL GERAL,1244,HOSPITAL_PÚBLICO,AVENIDA PRESIDENTE GETULIO VARGAS,4579,,REDENCAO,45994000,(73)30110950,,123,110,20,12,20,12,0,0,0,0,0,0,0,0,-17.5287797519533,-39.7637701034546
202501,NORDESTE,BA,SALVADOR,,2384582,HOSPITAL DA CIDADE,BAHIA SERVICOS DE SAUDE LTDA,M,5,HOSPITAL GERAL,2054,HOSPITAL_PRIVADO,RUA SALDANHA MARINHO,88,,CAIXA DAGUA,40320010,(71) 3505-8600,DIRETORIA@HOSPITALDACIDADE.COM.BR,85,0,30,0,30,0,0,0,0,0,0,0,0,0,-12.9570084,-38.4973575
202501,NORDESTE,BA,ITABUNA,,2385171,HOSPITAL DE BASE LUIS EDUARDO MAGALHAES,FASI FUNDACAO DE ATENCAO A SAUDE DE ITABUNA,D,5,HOSPITAL GERAL,1155,HOSPITAL_PÚBLICO,FERNANDO GOEMES OLIVEIRA,S/N,,NOSSA SENHORA DAS GR,45601554,73 88463730,DIRETORIA.HBLEMFASI@HOTMAIL.COM,229,219,19,9,19,9,0,0,0,0,0,0,0,0,-14.7890737980658,-39.2954778671265
202501,NORDESTE,BA,BRUMADO,,2386569,HOSPITAL MUNICIPAL PROF MAGALHAES NETO,MUNICIPIO DE BRUMADO,D,5,HOSPITAL GERAL,1244,HOSPITAL_PÚBLICO,RUA RIO DE CONTAS,288,,MONSENHOR ANTONIO DA,46117008,(77)34538705,,130,120,20,10,10,10,0,0,10,0,0,0,0,0,-14.20369886932,-42.2459936141968
202501,NORDESTE,BA,CACHOEIRA,,2386879,HOSPITAL SAO JOAO DE DEUS,SANTA CASA DE MISERICORDIA DA CACHOEIRA,D,5,HOSPITAL GERAL,3999,HOSPITAL_FILANTRÓPICO,PRACA DR ARISTIDES MILTON,S/N,PREDIO,CENTRO,44300000,(75) 4251019,scm.cacho@.gd.com.br,94,94,10,10,10,10,0,0,0,0,0,0,0,0,-12.6018076010775,-38.963283598423
202501,NORDESTE,BA,CAMACARI,,2388057,HOSPITAL GERAL DE CAMACARI,BAHIA SECRETARIA DE SAUDE DO ESTADO,E,5,HOSPITAL GERAL,1023,HOSPITAL_PÚBLICO,AVENIDA LESTE,S/N,VIA PARAFUSO,JARDIM LIMOEIRO,42800250,,,199,188,19,8,19,8,0,0,0,0,0,0,0,0,-12.703783,-38.301426
202501,NORDESTE,BA,SALVADOR,,2389738,HOSPITAL PROHOPE,HOSPITAL PROHOPE LTDA EM RECUPERACAO JUDICIAL,M,5,HOSPITAL GERAL,2062,HOSPITAL_PRIVADO,ESTRADA DA PACIENCIA,2009,LOTE 10 E 12,CAJAZEIRA VIII,41338700,(71) 32118100,JURIDICO@HPROHOPE.COM.BR,103,31,32,0,32,0,0,0,0,0,0,0,0,0,-12.8996896,-38.4123108
202501,NORDESTE,BA,SALVADOR,,2389746,HOSPITAL ALIANCA,HOSPITAL ESPERANCA SA,M,5,HOSPITAL GERAL,2054,HOSPITAL_PRIVADO,JURACY MAGALHAES JUNIOR,002096,EDIF HOSPITAL,SANTA CRUZ,41920900,71 30329208,fiscalcontroladoria@rededor.com.br,199,0,54,0,30,0,6,0,12,0,0,0,6,0,-13.0007159938315,-38.481148481369
202501,NORDESTE,BA,JEQUIE,,2400693,HOSPITAL GERAL PRADO VALADARES,BAHIA SECRETARIA DE SAUDE DO ESTADO,E,5,HOSPITAL GERAL,1023,HOSPITAL_PÚBLICO,RUA SAO CRISTOVAO,S/N,,CENTRO,45203110,(73)35287100,hgpvjequie@gmail.com,336,336,39,39,29,29,10,10,0,0,0,0,0,0,-13.0732078982596,-39.9647212028503
202501,NORDESTE,BA,VITORIA DA CONQUISTA,,2402076,COMPLEXO HOSPITALAR DE VITORIA DA CONQUISTA CHVC,BAHIA SECRETARIA DE SAUDE DO ESTADO,E,5,HOSPITAL GERAL,1023,HOSPITAL_PÚBLICO,AV FILIPINAS,S/N,JARDIM GUANABARA,FELICIA,45023300,7734246060,,323,310,60,59,40,39,10,10,10,10,0,0,0,0,-14.8798636135488,-40.8501613140106
202501,NORDESTE,BA,VITORIA DA CONQUISTA,,2402084,HCC HOSPITAL DE CLINICAS DE CONQUISTA,HCC HOSPITAL DE CLINICAS DE CONQUISTA LTDA,D,5,HOSPITAL GERAL,2062,HOSPITAL_PRIVADO,MARCELINO MENDES,04,,CENTRO,45000405,77 34208800,HCC.FINANCEIRO@YAHOO.COM.BR,43,7,8,0,8,0,0,0,0,0,0,0,0,0,-14.8531097816706,-40.838348865509
202501,NORDESTE,BA,VITORIA DA CONQUISTA,,2402564,HOSPITAL MUNICIPAL ESAU MATOS,FUNDACAO PUBLICA DE SAUDE DE VITORIA DA CONQUISTA,M,7,HOSPITAL ESPECIALIZADO,1279,HOSPITAL_PÚBLICO,AV MACAUBAS,100,KADIJA,PATAGONIA,45065540,(77)34206200,esaumatos2001@yahoo.com.br,137,137,10,10,0,0,0,0,10,10,0,0,0,0,-14.870883821149,-40.8629179000854
202501,NORDESTE,BA,VITORIA DA CONQUISTA,,2407205,SAMUR,SERVICO DE ASSISTENCIA MEDICA E URGENCIA SA SAMUR,D,5,HOSPITAL GERAL,2054,HOSPITAL_PRIVADO,YOLANDO FONSECA,480,,JUREMA,45023315,77 21020453,fabio@hospitalsamur.com.br,132,42,35,3,20,3,5,0,10,0,0,0,0,0,-14.866,-40.839
202501,NORDESTE,BA,ILHEUS,,2415844,HOSPITAL MATERNO INFANTIL DOUTOR JOAQUIM SAMPAIO,BAHIA SECRETARIA DE SAUDE DO ESTADO,E,7,HOSPITAL ESPECIALIZADO,1023,HOSPITAL_PÚBLICO,AVENIDA BRASIL,S/N,,CONQUISTA,45650270,(73) 32343850,hmijs@fesfsus.ba.gov.br,103,70,28,10,8,0,10,10,10,0,0,0,0,0,-14.78884558288,-39.0489077568054
202501,NORDESTE,BA,ITAPETINGA,,2417189,HOSPITAL CRISTO REDENTOR,FUNDACAO JOSE SILVEIRA,D,5,HOSPITAL GERAL,3069,HOSPITAL_FILANTRÓPICO,AV LUIZ VIANA FILHO,560,,JARDIM MORUMBI,45700000,(77) 32626250,,94,75,9,9,9,9,0,0,0,0,0,0,0,0,-15.2471528,-40.2570669
202501,NORDESTE,BA,ITABERABA,,2470098,HOSPITAL GERAL DE ITABERABA,MUNICIPIO DE ITABERABA,D,5,HOSPITAL GERAL,1244,HOSPITAL_PÚBLICO,RUA ROGERIO REGO,40,PREDIO,SAO JOAO,46880000,(75) 3251-3233,hgidiretoria.2017@gmail.com,88,78,10,0,10,0,0,0,0,0,0,0,0,0,-12.53275,-40.298471
202501,NORDESTE,BA,SALVADOR,,2470667,HOSPITAL DA SAGRADA FAMILIA,ASSOCIACAO DAS IRMAS FRANCISCANAS HOSPITALEIRAS DA IMACULADA,M,5,HOSPITAL GERAL,3999,HOSPITAL_FILANTRÓPICO,PLINIO DE LIMA,1,,MONT SERRAT,40415065,,,110,78,23,9,8,2,0,0,15,7,0,0,0,0,,
202501,NORDESTE,BA,JACOBINA,,2470748,HOSPITAL REGIONAL VICENTINA GOULART,BAHIA SECRETARIA DE SAUDE DO ESTADO,E,5,HOSPITAL GERAL,1023,HOSPITAL_PÚBLICO,RUA ALBERTO TORRES,370,,ESTACAO,44700000,7436212259,,86,82,9,9,9,9,0,0,0,0,0,0,0,0,-11.181,-40.518
202501,NORDESTE,BA,ALAGOINHAS,,2487438,HOSPITAL REGIONAL DANTAS BIAO,BAHIA SECRETARIA DE SAUDE DO ESTADO,E,5,HOSPITAL GERAL,1023,HOSPITAL_PÚBLICO,AVENIDA DANTAS BIAO,49,,ALAGOINHAS VELHA,48007510,75 34035700,faturamentohrdb@gmail.com,125,125,20,20,20,20,0,0,0,0,0,0,0,0,-12.1383095,-38.4167032
202501,NORDESTE,BA,VITORIA DA CONQUISTA,,2487756,HOSPITAL SAO VICENTE DE PAULO,SANTA CASA DE MISERICORDIA DE VITORIA DA CONQUISTA,D,5,HOSPITAL GERAL,3999,HOSPITAL_FILANTRÓPICO,HERCILIO LIMA,95,TERREO,CENTRO,45000195,77 34259900,,155,110,20,4,20,4,0,0,0,0,0,0,0,0,-14.8544994034009,-40.8448934555054
202501,NORDESTE,BA,VITORIA DA CONQUISTA,,2488892,IBR HOSPITAL,IBR INSTITUTO BRANDAO DE REABILITACAO LTDA,D,5,HOSPITAL GERAL,2062,HOSPITAL_PRIVADO,GOES CALMON,235,,CENTRO,45000400,77 21014100,contec@conteccontabilidade.com.br,69,34,29,4,19,4,10,0,0,0,0,0,0,0,-14.8547742155948,-40.8392018079758
202501,NORDESTE,BA,VITORIA DA CONQUISTA,,2488930,ANDRO HOSPITAL UROLOGICO,ANDRO INSTITUTO DE ANDROLOGIA LTDA EPP,M,5,HOSPITAL GERAL,2240,HOSPITAL_PRIVADO,OTAVIO SANTOS,444,,RECREIO,45020760,,,59,0,10,0,10,0,0,0,0,0,0,0,0,0,-14.855598650079,-40.8365893363953
202501,NORDESTE,BA,SALVADOR,,2493845,HOSPITAL MANOEL VICTORINO,BAHIA SECRETARIA DE SAUDE DO ESTADO,E,5,HOSPITAL GERAL,1023,HOSPITAL_PÚBLICO,PRACA CONSELHEIRO ALMEIDA COUTO,412,,NAZARE,40050405,(71)32541250,coord.adm.hmv@fabamed.org.br,108,108,10,10,10,10,0,0,0,0,0,0,0,0,-12.9728851,-38.5028177
202501,NORDESTE,BA,JEQUIE,,2494930,HOSPITAL SAO VICENTE,UNIAO COMUNITARIA DOS MEDICOS DA BAHIA UCMB,D,5,HOSPITAL GERAL,3999,HOSPITAL_FILANTRÓPICO,TIRADENTES,55,,CENTRO,45200273,73 88365484,barbosaprocessa@uol.com,115,109,10,10,10,10,0,0,0,0,0,0,0,0,-13.02974025,-39.6024193536187
202501,NORDESTE,BA,EUNAPOLIS,,2507447,HOSPITAL REGIONAL DE EUNAPOLIS,MUNICIPIO DE EUNAPOLIS,D,5,HOSPITAL GERAL,1244,HOSPITAL_PÚBLICO,AVENIDA PRINCESA ISABEL,750,,PEQUI,45820970,(73) 3281-9200,saude.eunapolis@gmail.com,120,120,10,10,10,10,0,0,0,0,0,0,0,0,-16.37208375,-39.5739475681353
202501,NORDESTE,BA,EUNAPOLIS,,2507455,HOSPITAL AMES,AMES ASSISTENCIA MEDICA EXTREMO SUL LTDA ME,D,5,HOSPITAL GERAL,2062,HOSPITAL_PRIVADO,RUA CONSELHEIRO LUIZ VIANA,77,,CENTRO,45820131,(73)3281-5065,hosp.ames@uol.com.br,53,6,9,0,9,0,0,0,0,0,0,0,0,0,-16.3754240239605,-39.5818519592285
202501,NORDESTE,BA,REMANSO,,2509369,HOSPITAL SAO PEDRO,PEDRO ALMEIDA DA SILVA,D,5,HOSPITAL GERAL,2062,HOSPITAL_PRIVADO,RUA EPITACIO DIAS DA SILVA,115,PREDIO,QUADRA 07,47200000,3535-1381,faturamento@hospitalsaopedroonline.com.br,62,52,10,10,10,10,0,0,0,0,0,0,0,0,-9.61912609604933,-42.0799626048728
202501,NORDESTE,BA,RUY BARBOSA,,2510391,HOSPITAL REGIONAL DE RUY BARBOSA,SANTA CASA DE MISERICORDIA DE RUY BARBOSA,D,5,HOSPITAL GERAL,3999,HOSPITAL_FILANTRÓPICO,RUA JUVENCIO XAVIER,475,CASA,JARDIM BRASILIA,46800000,(75)3252 1092,faturamento@santacasaderuybarbosa.com.br,115,99,10,0,10,0,0,0,0,0,0,0,0,0,-12.2823774,-40.4925928
202501,NORDESTE,BA,BARREIRAS,,2517752,CASA DE SAUDE SAO JOAO,CASA DE SAUDE SAO JOAO LTDA,M,7,HOSPITAL ESPECIALIZADO,2240,HOSPITAL_PRIVADO,BARAO DE COTEGIPE,464,,CENTRO,47800067,77 36113615,cssj.barreiras@gmail.com,13,0,1,0,0,0,0,0,1,0,0,0,0,0,-12.149025,-45.001019
202501,NORDESTE,BA,ALAGOINHAS,,2519879,HCA,HOSPITAL DAS CLINICAS DE ALAGOINHAS S A,M,5,HOSPITAL GERAL,2062,HOSPITAL_PRIVADO,RUI BARBOSA,11,,CENTRO,48000101,75 34239304,hca@hca.com.br,49,0,8,0,8,0,0,0,0,0,0,0,0,0,-12.1377816,-38.4212545792989
202501,NORDESTE,BA,SAO FELIX,,2520613,HOSPITAL NOSSA SENHORA DA POMPEIA,IRMANDADE DA SANTA CASA DE MISERICORDIA DE SAO FELIX,D,5,HOSPITAL GERAL,3999,HOSPITAL_FILANTRÓPICO,RUA NOVA,01,,CENTRO,44360000,(75)34383900,saofelix@fsa.svn.com.br,105,98,14,12,14,12,0,0,0,0,0,0,0,0,-12.605,-38.972
202501,NORDESTE,BA,ITABUNA,,2525569,HOSPITAL MANOEL NOVAES,SANTA CASA DE MISERICORDIA DE ITABUNA,D,7,HOSPITAL ESPECIALIZADO,3999,HOSPITAL_FILANTRÓPICO,SANTA CRUZ,00,,ALTO MARON,45603305,73 32149123,,173,131,32,27,0,0,10,7,22,20,0,0,0,0,-14.782144248185,-39.2703723907471
202501,NORDESTE,BA,VALENCA,,2525933,HOSPITAL DR HEITOR GUEDES DE MELLO,SANTA CASA DE MISERICORDIA DE VALENCA,D,5,HOSPITAL GERAL,3999,HOSPITAL_FILANTRÓPICO,RUA BARAO DE JEQUIRICA,S/N,PREDIO,CENTRO,45400000,(75)36418400,diretoria_medica@scmvca.org,100,78,10,0,10,0,0,0,0,0,0,0,0,0,-13.3712285374278,-39.0745496749878
202501,NORDESTE,BA,SIMOES FILHO,,2532387,HOSPITAL MUNICIPAL DE SIMOES FILHO,MUNICIPIO DE SIMOES FILHO,M,5,HOSPITAL GERAL,1244,HOSPITAL_PÚBLICO,AVENIDA WASHINGTON LUIS,S/N,ESTRADA DE CANDEIAS,CENTRO,43700090,(71)3961044,,90,80,10,0,10,0,0,0,0,0,0,0,0,0,-12.766138,-38.4031002
202501,NORDESTE,BA,PAULO AFONSO,,2533480,HOSPITAL NAIR ALVES DE SOUZA,MUNICIPIO DE PAULO AFONSO,D,5,HOSPITAL GERAL,1244,HOSPITAL_PÚBLICO,DAS CARAIBEIRAS,S/N,,GENERAL DUTRA,48607010,81 32292352,saudepa@gmail.com,134,127,4,0,0,0,0,0,4,0,0,0,0,0,-9.39488183016061,-38.2160604000092
202501,NORDESTE,BA,PAULO AFONSO,,2549905,HOSPITAL DE PAULO AFONSO,BAHIA SECRETARIA DE SAUDE DO ESTADO,E,5,HOSPITAL GERAL,1023,HOSPITAL_PÚBLICO,RUA WILSON PEREIRA,155,PREDIO,BTN3,48601000,(75)36921755,recepcao.hrpa@irmadulce.org.br,60,60,10,10,10,10,0,0,0,0,0,0,0,0,-9.408,-38.222
202501,NORDESTE,BA,JEQUIE,,2550555,HOSPITAL SANTA HELENA,ETERNA SOCIEDADE ANONIMA,M,5,HOSPITAL GERAL,2054,HOSPITAL_PRIVADO,RUA ABILIO PROCOPIO FERREIRA,64,,CENTRO,45200403,7335268300,adm@hospitalsantahelena.org,47,3,7,3,7,3,0,0,0,0,0,0,0,0,-13.8599786,-40.0881004
202501,NORDESTE,BA,EUNAPOLIS,,2556502,HOSPITAL RAMOS,HOSPITAL JOSE RAMOS NETO LTDA,D,5,HOSPITAL GERAL,2062,HOSPITAL_PRIVADO,AVENIDA RUI BARBOSA,62,,CENTRO,45820280,(73)3281-1337,hospramos@uol.com.br,113,10,20,0,10,0,5,0,5,0,0,0,0,0,-16.3790352,-39.5833922377845
202501,NORDESTE,BA,JUAZEIRO,,2557509,PROMATRE DE JUAZEIRO,HOSPITAL PROMATRE DE JUAZEIRO,M,5,HOSPITAL GERAL,3999,HOSPITAL_FILANTRÓPICO,RUA DOUTOR PEDRO BORGES VIANA,22,PREDIO,CENTRO,48903495,(74)3611 7225,promatjuazeiro@veloxmail.com.b,110,108,13,11,6,5,0,0,0,0,0,0,7,6,-9.4110786,-40.5049037
202501,NORDESTE,BA,FEIRA DE SANTANA,,2601680,HOSPITAL DOM PEDRO DE ALCANTARA,SANTA CASA DE MISERICORDIA,D,5,HOSPITAL GERAL,3999,HOSPITAL_FILANTRÓPICO,PROFESSORA EDELVIRA DE OLIVEIRA,192,TERREO,CENTRO,44001032,75 36045500,PROVEDORIA@SANTACASAFSA.ORG.BR,168,152,24,12,24,12,0,0,0,0,0,0,0,0,-12.2456963722668,-38.9554833863226
