COMP,REGIAO,UF,MUNICIPIO,MOTIVO_DESABILITACAO,CNES,NOME_ESTABELECIMENTO,RAZAO_SOCIAL,TP_GESTAO,CO_TIPO_UNIDADE,DS_TIPO_UNIDADE,NATUREZA_JURIDICA,DESC_NATUREZA_JURIDICA,NO_LOGRADOURO,NU_ENDERECO,NO_COMPLEMENTO,NO_BAIRRO,CO_CEP,NU_TELEFONE,NO_EMAIL,LEITOS_EXISTENTES,LEITOS_SUS,UTI_TOTAL_EXIST,UTI_TOTAL_SUS,UTI_ADULTO_EXIST,UTI_ADULTO_SUS,UTI_PEDIATRICO_EXIST,UTI_PEDIATRICO_SUS,UTI_NEONATAL_EXIST,UTI_NEONATAL_SUS,UTI_QUEIMADO_EXIST,UTI_QUEIMADO_SUS,UTI_CORONARIANA_EXIST,UTI_CORONARIANA_SUS
202501,NORDESTE,BA,SALVADOR,,4286,HOSPITAL JULIANO MOREIRA,BAHIA SECRETARIA DE SAUDE DO ESTADO,E,7,HOSPITAL ESPECIALIZADO,1023,HOSPITAL_PÚBLICO,AV EDGAR SANTOS,S/N,,NARANDIBA,41211005,(71)3103-3905,hjm.dg@saude.ba.gov.br,101,101,0,0,0,0,0,0,0,0,0,0,0,0
202501,NORDESTE,BA,SALVADOR,,4294,HOSPITAL GERAL DO ESTADO,BAHIA SECRETARIA DE SAUDE DO ESTADO,E,5,HOSPITAL GERAL,1023,HOSPITAL_PÚBLICO,AV VASCO DA GAMA,S/N,,VASCO DA GAMA,40230900,(71) 31175959,hge.contasmedicas@saude.ba.gov.br,352,344,60,60,48,48,8,8,0,0,4,4,0,0
202501,NORDESTE,BA,SALVADOR,,4472,ESPACO NELSON PIRES,SANATORIO SAO PAULO LTDA,M,7,HOSPITAL ESPECIALIZADO,2062,HOSPITAL_PRIVADO,LADEIRA AQUIDABAN,91,,SANTO ANTONIO,40301500,(71) 3418-7444/17/14,graziele.ribeiro@espaconelsonpires.com.br,70,0,0,0,0,0,0,0,0,0,0,0,0,0
202501,NORDESTE,BA,SALVADOR,,4731,MATERNIDADE CLIMERIO DE OLIVEIRA,UNIVERSIDADE FEDERAL DA BAHIA,E,7,HOSPITAL ESPECIALIZADO,1104,HOSPITAL_PÚBLICO,RUA DO LIMOEIRO,137,,NAZARE,40055150,,,81,81,10,10,0,0,0,0,10,10,0,0,0,0
202501,NORDESTE,BA,SALVADOR,,4987,HOSPITAL PROFESSOR CARVALHO LUZ,BAHIA SECRETARIA DE SAUDE DO ESTADO,E,5,HOSPITAL GERAL,1023,HOSPITAL_PÚBLICO,PRACA CONSELHEIRO ALMEIDA COUTO,512,,NAZARE,40050410,(071)3326-3211,ivo.ferreira@iff-ba.org,84,84,0,0,0,0,0,0,0,0,0,0,0,0
202501,NORDESTE,BA,SALVADOR,,5428,INSTITUTO COUTO MAIA,BAHIA SECRETARIA DE SAUDE DO ESTADO,E,7,HOSPITAL ESPECIALIZADO,1023,HOSPITAL_PÚBLICO,CORONEL AZEVEDO,000999,EDIF CAJAZEIRAS II H,CAJAZEIRAS II,41332010,71 31037153,ICOM.ADMINISTRCAO@SAUDE.BA.GOV.BR,160,130,50,20,50,20,0,0,0,0,0,0,0,0
202501,NORDESTE,BA,SALVADOR,,5436,HOSPITAL ESPECIALIZADO MARIO LEAL,BAHIA SECRETARIA DE SAUDE DO ESTADO,E,7,HOSPITAL ESPECIALIZADO,1023,HOSPITAL_PÚBLICO,CONDE DO PORTO ALEGRE,11,,IAPI,40330200,(71) 3117-0155,sesab.hmleal@saude.ba.gov.br,30,30,0,0,0,0,0,0,0,0,0,0,0,0
202501,NORDESTE,BA,SALVADOR,,6157,HOSPITAL HUMBERTO CASTRO LIMA,INSTITUTO BRASILEIRO DE OFTALMOLOGIA E PREVENCAO DA CEGUEIRA,D,7,HOSPITAL ESPECIALIZADO,3999,HOSPITAL_FILANTRÓPICO,RUA PEDRO LESSA,118,,CANELA,40110050,3173-8200,faleconosco@hhcl.org.br,42,30,0,0,0,0,0,0,0,0,0,0,0,0
202501,NORDESTE,BA,SALVADOR,,7382,CLISUR,CLISUR CLIN SUBURBANA E DE URGENCIA LTDA,M,5,HOSPITAL GERAL,2062,HOSPITAL_PRIVADO,RUA FREDERICO COSTA,02,,PERIPERI,40725620,(71)3397-4880,,11,0,0,0,0,0,0,0,0,0,0,0,0,0
202501,NORDESTE,BA,SALVADOR,,106526,HOSPITAL ESPANHOL,BAHIA SECRETARIA DE SAUDE DO ESTADO,E,5,HOSPITAL GERAL,1023,HOSPITAL_PÚBLICO,AVENIDA SETE DE SETEMBRO,4161,,BARRA,40140110,,,259,169,90,0,60,0,30,0,0,0,0,0,0,0
202501,NORDESTE,BA,JUAZEIRO,,106860,UNIDADE DE ATENDIMENTO PEDIATRICO,PREFEITURA MUNICIPAL DE JUAZEIRO,M,7,HOSPITAL ESPECIALIZADO,1244,HOSPITAL_PÚBLICO,TRAVESSA SAO JOAO,365,,PIRANGA,48900098,,,25,25,0,0,0,0,0,0,0,0,0,0,0,0
202501,NORDESTE,BA,SALVADOR,,108375,HOSPITAL MUNICIPAL DO HOMEM HMH,SECRETARIA MUNICIPAL DE SALVADOR,M,5,HOSPITAL GERAL,1244,HOSPITAL_PÚBLICO,PLINIO DE LIMA,1,,MONT SERRAT,40415065,3797-1922,paulo.filho@irmadulce.org.br,91,81,10,0,10,0,0,0,0,0,0,0,0,0
202501,NORDESTE,BA,BARREIRAS,,152870,ITIBA,INSTITUTO DE TERAPIA INTENSIVA DE BARREIRAS LTDA,M,5,HOSPITAL GERAL,2062,HOSPITAL_PRIVADO,GUADALAJARA,203,,VILA DULCE,47800271,62 39565850,,30,10,20,0,20,0,0,0,0,0,0,0,0,0
202501,NORDESTE,BA,FEIRA DE SANTANA,,188581,HOSPITAL FRANCISCA DE SANDE,HAPVIDA ASSISTENCIA MEDICA S A,M,5,HOSPITAL GERAL,2054,HOSPITAL_PRIVADO,PROFESSORA EDELVIRA DE OLIVEIRA,140,,CENTRO,44001032,85 40023633,FISCAL@HAPVIDA.COM.BR,10,0,5,0,5,0,0,0,0,0,0,0,0,0
202501,NORDESTE,BA,SALVADOR,,262080,ESQUADRAO DE SAUDE DE SALVADOR,COMANDO DA AERONAUTICA,M,5,HOSPITAL GERAL,1015,HOSPITAL_PÚBLICO,AER SANTO AMARO DO IPITANGA,S/N,,SAO CRISTOVAO,40301155,,notafiscal@clinicasdoc.com.br,1,0,0,0,0,0,0,0,0,0,0,0,0,0
202501,NORDESTE,BA,VITORIA DA CONQUISTA,,280836,CLINICA SENSI,VIVERE CUIDADO INTEGRAL EM SAUDE MENTAL LTDA,M,7,HOSPITAL ESPECIALIZADO,2062,HOSPITAL_PRIVADO,BARTOLOMEU DE GUSMAO,313,,RECREIO,45020107,77 88415556,contabilize.consultoria@hotmail.com,1,0,0,0,0,0,0,0,0,0,0,0,0,0
202501,NORDESTE,BA,CACULE,,311553,CENTRO DE ATENDIMENTO COVID19 CACULE,MUNICIPIO DE CACULE,M,15,UNIDADE MISTA,1244,HOSPITAL_PÚBLICO,RUA DR CRESCENCIO SILVEIRA,145,,ALTO DA BOA VISTA,46300000,,,1,1,0,0,0,0,0,0,0,0,0,0,0,0
202501,NORDESTE,BA,FEIRA DE SANTANA,,445916,UNIAO MEDICA,UNIAO MEDICA PLANOS DE SAUDE S A,M,5,HOSPITAL GERAL,2054,HOSPITAL_PRIVADO,BOTICARIO MONCORVO,649,,CENTRO,44001304,75 32232978,juridico@uniaomedica.com.br,20,0,10,0,5,0,5,0,0,0,0,0,0,0
202501,NORDESTE,BA,WAGNER,,462098,GRACE MEMORIAL HOSPITAL,GRACE MEMORIAL SAUDE LTDA,D,5,HOSPITAL GERAL,2062,HOSPITAL_PRIVADO,AVENIDA DR WOOD,201,CASA,CENTRO,46970000,7533362776,gracememorialsaudecenter@outlook.com,8,6,0,0,0,0,0,0,0,0,0,0,0,0
202501,NORDESTE,BA,LENCOIS,,503894,HOSPITAL MUNICIPAL DE LENCOIS,MUNICIPIO DE LENCOIS,M,5,HOSPITAL GERAL,1244,HOSPITAL_PÚBLICO,ALTO DO CAJUEIRO,S/N,,TOMBA SURRAO,46960000,7533341996,sec.saude.lencois@gmail.com,10,10,0,0,0,0,0,0,0,0,0,0,0,0
202501,NORDESTE,BA,LAURO DE FREITAS,,607126,HOSPITAL METROPOLITANO,BAHIA SECRETARIA DE SAUDE DO ESTADO,E,5,HOSPITAL GERAL,1023,HOSPITAL_PÚBLICO,AV SANTO AMARO DE IPITANGA,5901,LOTE GLEBA E,AREIA BRANCA,42732750,07132832100,,243,235,63,63,63,63,0,0,0,0,0,0,0,0
202501,NORDESTE,BA,FEIRA DE SANTANA,,613835,EQUILIBRIUM SERVICOS MEDICOS,EQUILIBRIUM SERVICOS MEDICOS LTDA,M,5,HOSPITAL GERAL,2062,HOSPITAL_PRIVADO,RUA TURQUIA,116,,PONTO CENTRAL,44075295,75 36233577,equilibriumdayhospital@yahoo.com,2,0,0,0,0,0,0,0,0,0,0,0,0,0
202501,NORDESTE,BA,IBITITA,,910775,HOSPITAL MUNICIPAL URBANO MACEDO HPP,MUNICIPIO DE IBITITA,D,5,HOSPITAL GERAL,1244,HOSPITAL_PÚBLICO,RUA CANOAO,S/N,,RIACHO,44960000,,,18,18,0,0,0,0,0,0,0,0,0,0,0,0
202501,NORDESTE,BA,ITABUNA,,989061,MATERNIDADE OTACIANA PINTO,INSTITUTO DE GESTAO APLICADA,D,7,HOSPITAL ESPECIALIZADO,3999,HOSPITAL_FILANTRÓPICO,RUA B,001,,NOSSA SENHORA DAS GR,45601574,,,50,50,0,0,0,0,0,0,0,0,0,0,0,0
202501,NORDESTE,BA,TEIXEIRA DE FREITAS,,2301296,HOSPITAL SOBRASA,SOCIEDADE BRASILEIRA DE AMPARO A SAUDE LTDA,M,5,HOSPITAL GERAL,2062,HOSPITAL_PRIVADO,AV PRESIDENTE GETULIO VARGAS,2752,,RECANTO DO LAGO,45987088,(73)33112800,,71,0,10,0,10,0,0,0,0,0,0,0,0,0
202501,NORDESTE,BA,TEIXEIRA DE FREITAS,,2301318,HOSPITAL MUNICIPAL DE TEIXEIRA DE FREITAS,PREFEITURA MUNICIPAL DE TEIXEIRA DE FREITAS,D,5,HOSPITAL GERAL,1244,HOSPITAL_PÚBLICO,AVENIDA PRESIDENTE GETULIO VARGAS,4579,,REDENCAO,45994000,(73)30110950,,123,110,20,12,20,12,0,0,0,0,0,0,0,0
202501,NORDESTE,BA,TEIXEIRA DE FREITAS,,2301504,CLINICA SAO LUCAS,ROESSLER QUEIROZ CENTRO MEDICO LTDA EPP,M,15,UNIDADE MISTA,2062,HOSPITAL_PRIVADO,AV PRESIDENTE GETULIO VARGAS,2442,,RECANTO DO LAGO,45987088,(73)2918400,,7,0,0,0,0,0,0,0,0,0,0,0,0,0
202501,NORDESTE,BA,NAZARE,,2301601,HOSPITAL GONCALVES MARTINS,IRMANDADE DA STA CASA DE MIS DA CIDADE DE NAZARE,D,5,HOSPITAL GERAL,3999,HOSPITAL_FILANTRÓPICO,RUA FERREIRA BASTOS,04,PREDIO,BATATAN,44400000,(75)3636-2016,lhsantacasa@hotmail.com,50,50,0,0,0,0,0,0,0,0,0,0,0,0
202501,NORDESTE,BA,BARRA,,2301687,HOSPITAL ANA MARIANI FABAMED,FUNDACAO ABM DE PESQUISA NA AREA DA SAUDE,D,5,HOSPITAL GERAL,3069,HOSPITAL_FILANTRÓPICO,LUIZ VIANA FILHO,S/N,,FATIMA,47100000,74 3662 4815,monicafabamed@gmail.com,37,37,0,0,0,0,0,0,0,0,0,0,0,0
202501,NORDESTE,BA,ABARE,,2304295,HOSPITAL MUNICIPAL JONIVAL LUCAS DA SILVA,MUNICIPIO DE ABARE,M,5,HOSPITAL GERAL,1244,HOSPITAL_PÚBLICO,RUA DOM ANTONIO MONTEIRO,140,PREDIO,CENTRO,48680000,(75)32872387,smsabare@gmail.com,27,27,0,0,0,0,0,0,0,0,0,0,0,0
202501,NORDESTE,BA,RIACHAO DO JACUIPE,,2304325,HOSPITAL O BOM SAMARITANO,ASSOCIACAO JACUIPENSE DE ASSISTENCIA AO PROXIMO DESAMPARADO,D,5,HOSPITAL GERAL,3999,HOSPITAL_FILANTRÓPICO,RUA JOSE ABRAAO CARNEIRO,197,PREDIO,CAIXA DAGUA,44640000,(75) 32642115,hbomsamaritano@hotmail.com,34,30,0,0,0,0,0,0,0,0,0,0,0,0
202501,NORDESTE,BA,AMERICA DOURADA,,2304538,HOSPITAL MUNICIPAL LOURIVAL BISPO DO ROSARIO,PREFEITURA MUNICIPAL DE AMERICA DOURADA,M,5,HOSPITAL GERAL,1244,HOSPITAL_PÚBLICO,AV NESTOR PEREIRA BORGES,95,,CENTRO,44910970,(74)99876821,,27,27,0,0,0,0,0,0,0,0,0,0,0,0
202501,NORDESTE,BA,JEREMOABO,,2304767,HOSPITAL GERAL DE JEREMOABO,FUNDO MUNICIPAL DE SAUDE DE JEREMOABO,M,5,HOSPITAL GERAL,1244,HOSPITAL_PÚBLICO,AVENIDA PREFEITO JOSE LOURENCO DE CARVALHO,S/N,PREDIO,JOAO PAULO II,48540000,(75)3203 2049,,31,31,0,0,0,0,0,0,0,0,0,0,0,0
202501,NORDESTE,BA,ALCOBACA,,2304848,HOSPITAL MUNICIPAL SAO BERNARDO,FUNDO MUNICIPAL DE SAUDE DE ALCOBACA BA,M,5,HOSPITAL GERAL,1244,HOSPITAL_PÚBLICO,NOVA VICOSA,S/N,,JARDIM ATLANTICO,45910000,,,62,62,0,0,0,0,0,0,0,0,0,0,0,0
202501,NORDESTE,BA,BARRO ALTO,,2304910,MEDCLIN CENTRO DE ESPECIALIDADES MEDICAS,MATOS MENDONCA SERVICOS MEDICOS LTDA ME,M,5,HOSPITAL GERAL,2062,HOSPITAL_PRIVADO,PRACA DA MATRIZ,514,,CENTRO,44895000,,,23,22,0,0,0,0,0,0,0,0,0,0,0,0
202501,NORDESTE,BA,BELO CAMPO,,2304953,HOSPITAL MUNICIPAL VICENTE VIEIRA,PREFEITURA MUNICIPAL DE BELO CAMPO,M,5,HOSPITAL GERAL,1244,HOSPITAL_PÚBLICO,PCA PACIFICO NUNES,100,,ALVORADA,45160000,7734372672,,51,51,0,0,0,0,0,0,0,0,0,0,0,0
202501,NORDESTE,BA,SALVADOR,,2384582,HOSPITAL DA CIDADE,BAHIA SERVICOS DE SAUDE LTDA,M,5,HOSPITAL GERAL,2054,HOSPITAL_PRIVADO,RUA SALDANHA MARINHO,88,,CAIXA DAGUA,40320010,(71) 3505-8600,DIRETORIA@HOSPITALDACIDADE.COM.BR,85,0,30,0,30,0,0,0,0,0,0,0,0,0
202501,NORDESTE,BA,ITABUNA,,2385171,HOSPITAL DE BASE LUIS EDUARDO MAGALHAES,FASI FUNDACAO DE ATENCAO A SAUDE DE ITABUNA,D,5,HOSPITAL GERAL,1155,HOSPITAL_PÚBLICO,FERNANDO GOEMES OLIVEIRA,S/N,,NOSSA SENHORA DAS GR,45601554,73 88463730,DIRETORIA.HBLEMFASI@HOTMAIL.COM,229,219,19,9,19,9,0,0,0,0,0,0,0,0
202501,NORDESTE,BA,BOTUPORA,,2386305,HOSPITAL MUNICIPAL E MATERNIDADE DE BOTUPORA,MUNICIPIO DE BOTUPORA,M,5,HOSPITAL GERAL,1244,HOSPITAL_PÚBLICO,RUA DOM PEDRO II,52,PREDIO,CENTRO,46570000,77981604761,secretariabotu001@gmail.com,43,43,0,0,0,0,0,0,0,0,0,0,0,0
202501,NORDESTE,BA,BRUMADO,,2386569,HOSPITAL MUNICIPAL PROF MAGALHAES NETO,MUNICIPIO DE BRUMADO,D,5,HOSPITAL GERAL,1244,HOSPITAL_PÚBLICO,RUA RIO DE CONTAS,288,,MONSENHOR ANTONIO DA,46117008,(77)34538705,,130,120,20,10,10,10,0,0,10,0,0,0,0,0
202501,NORDESTE,BA,BURITIRAMA,,2386674,HOSPITAL DE PEQUENO PORTE MATERNIDADE NOSSA SENHORA DA LUZ,MUNICIPIO DE BURITIRAMA,D,5,HOSPITAL GERAL,1244,HOSPITAL_PÚBLICO,AVENIDA PREFEITURA ARIVAL VIANA,716,,CENTRO,47120000,(77)34422379,smsburitirama@zipmail.com.br,20,20,0,0,0,0,0,0,0,0,0,0,0,0
202501,NORDESTE,BA,CAATIBA,,2386739,HOSPITAL MUNICIPAL DE CAATIBA,MUNICIPIO DE CAATIBA,M,5,HOSPITAL GERAL,1244,HOSPITAL_PÚBLICO,RUA AUGUSTO ASTERIO,01,,CENTRO,45130000,7734302219,secsaudecaatiba@gmail.com,14,14,0,0,0,0,0,0,0,0,0,0,0,0
202501,NORDESTE,BA,CABACEIRAS DO PARAGUACU,,2386836,CENTRO DE SAUDE ANTONIO MARTINS,MUNICIPIO DE CABACEIRAS DO PARAGUACU,M,15,UNIDADE MISTA,1244,HOSPITAL_PÚBLICO,RUA DO SEGREDO,S/N,,CENTRO,44345000,(75)36811130,saudecabaceiras@gmail.com,1,1,0,0,0,0,0,0,0,0,0,0,0,0
202501,NORDESTE,BA,CACHOEIRA,,2386879,HOSPITAL SAO JOAO DE DEUS,SANTA CASA DE MISERICORDIA DA CACHOEIRA,D,5,HOSPITAL GERAL,3999,HOSPITAL_FILANTRÓPICO,PRACA DR ARISTIDES MILTON,S/N,PREDIO,CENTRO,44300000,(75) 4251019,scm.cacho@.gd.com.br,94,94,10,10,10,10,0,0,0,0,0,0,0,0
202501,NORDESTE,BA,CACULE,,2387042,HOSP MATERNIDADE NOSSA SENHORA APARECIDA,ASSOCIACAO DE PROT MATER E A INFANCIA DE CACULE,M,5,HOSPITAL GERAL,3999,HOSPITAL_FILANTRÓPICO,RUA DR CRESCENCIO SILVEIRA,293,,ZEFERINO CARINHANA,46300000,(77)4551422,ticaxavier@hotmail.com,51,49,0,0,0,0,0,0,0,0,0,0,0,0
202501,NORDESTE,BA,CAFARNAUM,,2387131,HOSPITAL MUNICIPAL MAE OLIMPIA,MUNICIPIO DE CAFARNAUM,D,5,HOSPITAL GERAL,1244,HOSPITAL_PÚBLICO,RUA EUCLIDES DA CUNHA,891,CASA,CENTRO,44880063,(74)36461624,seccafarnaum@yahoo.com.br,33,33,0,0,0,0,0,0,0,0,0,0,0,0
202501,NORDESTE,BA,CANARANA,,2387263,UNIDADE MISTA DE SAUDE DE CANARANA,PREFEITURA MUNICIPAL DE CANARANA,M,5,HOSPITAL GERAL,1244,HOSPITAL_PÚBLICO,RUA BARRO ALTO,123,,CENTRO,44890000,(74)36562154,saudecanarana@yahoo.com.br,36,36,0,0,0,0,0,0,0,0,0,0,0,0
202501,NORDESTE,BA,CAMAMU,,2387514,HOSPITAL MUNICIPAL DR ALVARO ERNESTO,MUNICIPIO DE CAMAMU,D,5,HOSPITAL GERAL,1244,HOSPITAL_PÚBLICO,RUA CEL FRANCISCO MAGNO,100,,CENTRO,45445000,(73)32552175,,17,17,0,0,0,0,0,0,0,0,0,0,0,0
202501,NORDESTE,BA,CANDEIAS,,2387581,HOSPITAL MUNICIPAL JOSE MARIO DOS SANTOS,PREFEITURA MUNICIPAL DE CANDEIAS,M,5,HOSPITAL GERAL,1244,HOSPITAL_PÚBLICO,LOTEAMENTO JARDIM OURO NEGRO,S/N,,OURO NEGRO,43815360,(7135990033,faturamentohmjms@gmail.com,30,30,0,0,0,0,0,0,0,0,0,0,0,0
202501,NORDESTE,BA,CANDIDO SALES,,2387700,HOSP MUN DEP LUIS EDUARDO MAGALHAES,FUNDO MUNICIPAL DE SAUDE DE CANDIDO SALES,M,5,HOSPITAL GERAL,1244,HOSPITAL_PÚBLICO,RUA JOSE PORTO,S/N,,NOVA CONQUISTA,45157000,(77)34381384,fundosaudesales2017@gmail.com,55,55,0,0,0,0,0,0,0,0,0,0,0,0
202501,NORDESTE,BA,CAPIM GROSSO,,2387727,HOSPITAL DE CAPIM GROSSO,INSTITUTO DE GESTAO E HUMANIZACAO IGH,D,5,HOSPITAL GERAL,3999,HOSPITAL_FILANTRÓPICO,RUA ADNALVINO DIAS DE DEUS,207,,OLIVEIRA,44820035,(74)651 1169,info@igh.org.br,57,57,0,0,0,0,0,0,0,0,0,0,0,0
